pid;Roof Style;Roof Matl;Exterior 1st;Exterior 2nd;Mas Vnr Type;Mas Vnr Area;foundation;heating;Central Air;electrical;1st Flr SF;2nd Flr SF;Low Qual Fin SF;Kitchen AbvGr;TotRms AbvGrd;functional;fireplaces;Fireplace Qu;Paved Drive;Wood Deck SF;Open Porch SF;Enclosed Porch;3Ssn Porch;Screen Porch;fence;MS SubClass;MS Zoning;Mo Sold;Yr Sold;Exter Cond;Heating QC;Exter Qual;Kitchen Qual;Full Bath;Half Bath;Bedroom AbvGr;Gr Liv Area;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;Bsmt Unf SF;Bsmt Cond;Bsmt Half Bath;BsmtFin Type 1;BsmtFin Type 2;Total Bsmt SF;Bsmt Exposure;Bsmt Full Bath;Bsmt Qual;BsmtFin SF 2;BsmtFin SF 1;Garage Cond;Garage Type;Garage Yr Blt;Garage Cars;Garage Qual;Garage Finish;Garage Area;Misc Feature;Misc Val;Pool QC;Pool Area;Neighborhood;Sale Type;saleprice;Sale Condition
528228270;Gable  ;CompShg;WdShing;Wd Shng;BrkFace;72;PConc ;GasA ;Y;SBrkr;1258;0;0;1;6;Typ ;1;Gd;Y;144;16;0;0;0;NA   ;120;RL     ;6.0;2007.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1258.0;53;3922;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2006;2007;1258;TA;0;Unf;Unf;1258;Av;0;Ex;0;0;TA;Attchd;2007;3;TA;Fin;648;NA;0;NA;0;Blmngtn;New  ;172500;Partial
528228275;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;72;PConc ;GasA ;Y;SBrkr;1402;0;0;1;7;Typ ;1;Gd;Y;120;16;0;0;0;NA   ;120;RL     ;2.0;2007.0;TA;Ex;Gd;Gd;0.0;2.0;2.0;1402.0;53;3922;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2006;2007;1258;TA;2;Unf;Unf;1258;Av;0;Ex;0;0;TA;Attchd;2006;3;TA;Fin;648;NA;0;NA;0;Blmngtn;New  ;194201;Partial
528228280;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;14;PConc ;GasA ;Y;SBrkr;1364;0;0;1;6;Typ ;1;Gd;Y;100;16;0;0;0;NA   ;120;RL     ;11.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1364.0;43;3087;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2006;2006;767;TA;0;GLQ;Unf;1220;Av;1;Gd;0;453;TA;Attchd;2006;2;TA;Fin;437;NA;0;NA;0;Blmngtn;New  ;210250;Partial
528228285;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;14;PConc ;GasA ;Y;SBrkr;1145;0;0;1;6;Typ ;0;NA;Y;100;116;0;0;0;NA   ;120;RL     ;1.0;2010.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1145.0;43;3203;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2006;2006;1129;TA;0;GLQ;Unf;1145;Av;0;Gd;0;16;TA;Attchd;2006;2;TA;Fin;437;NA;0;NA;0;Blmngtn;WD   ;160000;Normal 
528228290;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;130;PConc ;GasA ;Y;SBrkr;1555;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;6.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1555.0;53;3684;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2007;2007;1373;TA;0;Unf;Unf;1373;No;0;Gd;0;0;TA;Attchd;2007;3;TA;Fin;660;NA;0;NA;0;Blmngtn;WD   ;174000;Normal 
528228295;Hip    ;CompShg;VinylSd;VinylSd;BrkFace;130;PConc ;GasA ;Y;SBrkr;1569;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;5.0;2009.0;TA;Ex;Gd;Gd;2.0;0.0;1.0;1569.0;51;3635;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2007;2007;398;TA;1;ALQ;Unf;1386;No;0;Gd;0;988;TA;Attchd;2007;3;TA;RFn;660;NA;0;NA;0;Blmngtn;WD   ;175900;Normal 
528228325;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;18;PConc ;GasA ;Y;SBrkr;1557;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;10.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1557.0;;3196;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2003;2004;1374;TA;0;Unf;Unf;1374;Gd;0;Gd;0;0;TA;Attchd;2003;2;TA;Fin;420;NA;0;NA;0;Blmngtn;WD   ;234000;Normal 
528228340;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;40;PConc ;GasA ;Y;SBrkr;1456;0;0;1;7;Typ ;1;TA;Y;143;20;0;0;0;NA   ;120;RL     ;5.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1456.0;;3196;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;8;5;2003;2003;1273;TA;0;Unf;Unf;1273;Gd;0;Gd;0;0;TA;Attchd;2003;2;TA;Fin;400;NA;0;NA;0;Blmngtn;WD   ;215000;Normal 
528228345;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;143;PConc ;GasA ;Y;SBrkr;1455;0;0;1;6;Typ ;1;TA;Y;156;20;0;0;144;NA   ;120;RL     ;8.0;2008.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1455.0;;3940;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2003;2003;342;TA;0;GLQ;Unf;1415;Gd;1;Gd;0;1073;TA;Attchd;2003;3;TA;Fin;644;NA;0;NA;0;Blmngtn;WD   ;195000;Normal 
528228360;Gable  ;CompShg;VinylSd;VinylSd;BrkFace;40;PConc ;GasA ;Y;SBrkr;1511;0;0;1;5;Typ ;1;TA;Y;130;30;0;0;0;NA   ;120;RL     ;5.0;2006.0;TA;Ex;Gd;Gd;2.0;0.0;2.0;1511.0;;2938;Pave;NA  ;Reg                 ;Lvl;AllPub;Inside ;Gtl;Norm                          ;Normal;TwnhsE;1Story;7;5;2002;2002;330;TA;0;GLQ;Unf;1368;Av;1;Gd;0;1038;TA;Attchd;2002;2;TA;Fin;398;NA;0;NA;0;Blmngtn;WD   ;246990;Normal 
